Sample	Cell	Cell 1
Control	1	128.9
Control	1	88.1
Control	1	77.8
Control	1	114.1
Control	1	69.5
Control	1	39.3
Control	1	77.8
Control	1	71.79
Control	1	153.7
Control	1	83.6
Control	1	74.6
Control	1	81.8
Control	1	133.7
Control	1	79.8
Control	1	87.7
Control	1	81.9
Control	1	115.3
Control	1	71.9
Control	1	54.8
Control	1	90
Control	1	85.4
Control	1	86.3
Control	1	92.3
Control	1	145.6
Control	1	97.4
Control	1	84.5
Control	1	73.6
Control	1	121.4
Control	1	101.3
Control	1	94.6
Control	2	75.8
Control	2	132.4
Control	2	87.6
Control	2	74.2
Control	2	77.5
Control	2	69.1
Control	2	110.8
Control	2	66
Control	2	83.6
Control	2	72.8
Control	2	104.1
Control	2	61
Control	2	42.6
Control	2	88.6
Control	2	69.8
Control	2	66.7
Control	2	61.1
Control	2	75.9
Control	2	74.2
Control	2	73.7
Control	2	115.4
Control	2	81.3
Control	2	83.4
Control	2	79.6
Control	2	72.5
Control	2	104.6
Control	2	72.6
Control	2	70.4
Control	2	82.6
Control	2	79.6
Control	3	85.3
Control	3	131.9
Control	3	87.3
Control	3	78.5
Control	3	62.6
Control	3	115.9
Control	3	110.7
Control	3	75.8
Control	3	82.1
Control	3	51.3
Control	3	63.7
Control	3	88.2
Control	3	86.6
Control	3	115.5
Control	3	72.6
Control	3	63
Control	3	108.6
Control	3	78.7
Control	3	64.7
Control	3	57.6
Control	3	63.5
Control	3	72.1
Control	3	78.3
Control	3	65.7
Control	3	54.5
Control	3	68.9
Control	3	54.1
Control	3	126.3
Control	3	83.2
Control	3	84.5
Control	4	85
Control	4	132.9
Control	4	86.5
Control	4	77.3
Control	4	69.9
Control	4	93.2
Control	4	142.3
Control	4	70.7
Control	4	86.7
Control	4	82.5
Control	4	53.5
Control	4	78
Control	4	111.5
Control	4	52.4
Control	4	71.1
Control	4	45.3
Control	4	65
Control	4	64.1
Control	4	65.2
Control	4	115.3
Control	4	72.6
Control	4	69.4
Control	4	54.2
Control	4	63.8
Control	4	60.4
Control	4	121.6
Control	4	67.8
Control	4	85.6
Control	4	78.2
Control	4	69
Control	5	62.3
Control	5	71.2
Control	5	58.4
Control	5	59.6
Control	5	63.4
Control	5	97.5
Control	5	48.3
Control	5	51.2
Control	5	65.4
Control	5	61.3
Control	5	55.8
Control	5	102.8
Control	5	87.6
Control	5	68.8
Control	5	73.1
Control	5	32.6
Control	5	64.7
Control	5	69.3
Control	5	75.2
Control	5	54.3
Control	5	97.6
Control	5	62.3
Control	5	66.8
Control	5	105.9
Control	5	59.7
Control	5	68.9
Control	5	66.7
Control	5	73.9
Control	5	43.2
Control	5	69.8
Norketamine	6	63.96
Norketamine	6	62.24
Norketamine	6	60.42
Norketamine	6	40.11
Norketamine	6	50.32
Norketamine	6	57.1
Norketamine	6	44.6
Norketamine	6	58.5
Norketamine	6	65.56
Norketamine	6	31.97
Norketamine	6	49.47
Norketamine	6	48.67
Norketamine	6	60.82
Norketamine	6	52.34
Norketamine	6	56.78
Norketamine	6	63.21
Norketamine	6	49.56
Norketamine	6	54.65
Norketamine	6	60.3
Norketamine	6	63.2
Norketamine	6	64.53
Norketamine	6	58.79
Norketamine	6	52.46
Norketamine	6	52.64
Norketamine	6	56.47
Norketamine	6	47.21
Norketamine	6	59.36
Norketamine	6	67.89
Norketamine	6	48.56
Norketamine	6	48.69
Norketamine	7	57.5
Norketamine	7	71.37
Norketamine	7	64.63
Norketamine	7	62.13
Norketamine	7	55.97
Norketamine	7	63.93
Norketamine	7	70.69
Norketamine	7	48.41
Norketamine	7	69.79
Norketamine	7	69.4
Norketamine	7	71.76
Norketamine	7	53.1
Norketamine	7	48.37
Norketamine	7	52.69
Norketamine	7	64.32
Norketamine	7	49.82
Norketamine	7	54.65
Norketamine	7	57.65
Norketamine	7	62.34
Norketamine	7	52.36
Norketamine	7	63.67
Norketamine	7	64.98
Norketamine	7	59.71
Norketamine	7	56.97
Norketamine	7	74.56
Norketamine	7	69.47
Norketamine	7	71.23
Norketamine	7	51.23
Norketamine	7	56.58
Norketamine	7	54.87
Norketamine	8	62.53
Norketamine	8	62.59
Norketamine	8	44.93
Norketamine	8	50.37
Norketamine	8	52.34
Norketamine	8	48.96
Norketamine	8	53.66
Norketamine	8	46.85
Norketamine	8	64.37
Norketamine	8	43.55
Norketamine	8	43.46
Norketamine	8	60.09
Norketamine	8	44.93
Norketamine	8	44.32
Norketamine	8	68.24
Norketamine	8	47.4
Norketamine	8	52.32
Norketamine	8	50.24
Norketamine	8	39.71
Norketamine	8	46.32
Norketamine	8	52.36
Norketamine	8	54.78
Norketamine	8	49.68
Norketamine	8	58.46
Norketamine	8	61.23
Norketamine	8	60.32
Norketamine	8	52.76
Norketamine	8	60.38
Norketamine	8	48
Norketamine	8	51.23
Norketamine	9	61.66
Norketamine	9	63.46
Norketamine	9	63.3
Norketamine	9	53.97
Norketamine	9	76.31
Norketamine	9	69.31
Norketamine	9	67.97
Norketamine	9	62.41
Norketamine	9	57.31
Norketamine	9	63.2
Norketamine	9	83.84
Norketamine	9	71
Norketamine	9	65.74
Norketamine	9	60.4
Norketamine	9	68.45
Norketamine	9	62.34
Norketamine	9	58.79
Norketamine	9	70.21
Norketamine	9	64.37
Norketamine	9	60.14
Norketamine	9	71.23
Norketamine	9	67.56
Norketamine	9	62.58
Norketamine	9	70.39
Norketamine	9	68
Norketamine	9	72.69
Norketamine	9	40.18
Norketamine	9	53.64
Norketamine	9	50.78
Norketamine	9	64.91
Norketamine	10	80.31
Norketamine	10	54.87
Norketamine	10	58.1
Norketamine	10	59.02
Norketamine	10	63.76
Norketamine	10	77.69
Norketamine	10	68.02
Norketamine	10	76.42
Norketamine	10	72
Norketamine	10	60.92
Norketamine	10	103.84
Norketamine	10	79.14
Norketamine	10	67.86
Norketamine	10	72.56
Norketamine	10	62.36
Norketamine	10	64.51
Norketamine	10	71
Norketamine	10	68.1
Norketamine	10	63.87
Norketamine	10	72.31
Norketamine	10	83.63
Norketamine	10	81.23
Norketamine	10	67.52
Norketamine	10	63.28
Norketamine	10	54.63
Norketamine	10	58.64
Norketamine	10	46.77
Norketamine	10	53.71
Norketamine	10	54.23
Norketamine	10	84.6
